2020-03-16 23:32:51.211 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2020-03-16 23:32:51.236 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2020-03-16 23:32:51.502 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2020-03-16 23:32:51.574 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.4.2, hlaVersion: HLA IEEE 1516-2010
2020-03-16 23:32:52.985 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2020-03-16 23:32:52.993 [main] INFO  skf.core.SEEHLAModule - Join the federate ' FACENS_Space_Probe ' into the Federation execution ' SEE 2020 '.
2020-03-16 23:32:53.399 [main] INFO  skf.core.SEEHLAModule - Asynchronous delivery enabled.
2020-03-16 23:32:53.404 [main] INFO  skf.core.SEEHLAModule - Subscribed to the Subject
2020-03-16 23:32:53.431 [prti1516e: LRC[0x06ab778a] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - Synchronization point announced: INITIALIZATION_COMPLETED
2020-03-16 23:32:53.445 [main] INFO  skf.core.SEEHLAModule - The Object ' facens_space_probe, state=null, battery_level=null, temperature=-30.0, length=null, width=null, height=null, position=Position [x=100.0- y=500.0- z=800.0] ' has been published.
2020-03-16 23:32:53.446 [main] INFO  skf.core.SEEHLAModule - Subscribing the ' MoonCentricFixed ' ReferenceFrame
2020-03-16 23:32:53.475 [prti1516e: LRC[0x06ab778a] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1102>, ObjectClassHandle: objectClass<8>, Name: EarthFixed, FederateHandle: null
2020-03-16 23:32:53.478 [prti1516e: LRC[0x06ab778a] Federate service] ERROR skf.core.SEEAbstractFederateAmbassador - Can't find the FrameType: EarthFixed
2020-03-16 23:38:37.172 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2020-03-16 23:38:37.196 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2020-03-16 23:38:37.467 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2020-03-16 23:38:37.550 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.4.2, hlaVersion: HLA IEEE 1516-2010
2020-03-16 23:38:39.054 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2020-03-16 23:38:39.060 [main] INFO  skf.core.SEEHLAModule - Join the federate ' FACENS_Space_Probe ' into the Federation execution ' SEE 2020 '.
2020-03-16 23:38:39.628 [prti1516e: LRC[0x06ab778a] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - Synchronization point announced: INITIALIZATION_COMPLETED
2020-03-16 23:38:39.637 [main] INFO  skf.core.SEEHLAModule - Asynchronous delivery enabled.
2020-03-16 23:38:39.639 [main] INFO  skf.core.SEEHLAModule - Subscribed to the Subject
2020-03-16 23:38:39.722 [main] INFO  skf.core.SEEHLAModule - The Object ' facens_space_probe, state=null, battery_level=null, temperature=-30.0, length=null, width=null, height=null, position=Position [x=100.0- y=500.0- z=800.0] ' has been published.
2020-03-16 23:38:39.725 [main] INFO  skf.core.SEEHLAModule - Subscribing the ' MoonCentricFixed ' ReferenceFrame
2020-03-16 23:38:39.740 [prti1516e: LRC[0x06ab778a] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1102>, ObjectClassHandle: objectClass<8>, Name: EarthFixed, FederateHandle: null
2020-03-16 23:38:39.744 [prti1516e: LRC[0x06ab778a] Federate service] ERROR skf.core.SEEAbstractFederateAmbassador - Can't find the FrameType: EarthFixed
