2020-03-29 22:37:56.609 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2020-03-29 22:37:56.638 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2020-03-29 22:37:56.887 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2020-03-29 22:37:56.969 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.4.2, hlaVersion: HLA IEEE 1516-2010
2020-03-29 22:37:58.499 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2020-03-29 22:37:58.510 [main] INFO  skf.core.SEEHLAModule - Join the federate ' FACENS_Space_Probe ' into the Federation execution ' SEE 2020 '.
2020-03-29 22:37:59.156 [prti1516e: LRC[0x11fc564b] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - Synchronization point announced: INITIALIZATION_COMPLETED
2020-03-29 22:37:59.156 [main] INFO  skf.core.SEEHLAModule - Asynchronous delivery enabled.
2020-03-29 22:37:59.171 [main] INFO  skf.core.SEEHLAModule - Subscribed to the Subject
2020-03-29 22:37:59.187 [main] INFO  skf.core.SEEHLAModule - The ObjectClass 'class skf.model.object.executionConfiguration.ExecutionConfiguration' has been subscribed.
2020-03-29 22:37:59.187 [prti1516e: LRC[0x11fc564b] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<102>, ObjectClassHandle: objectClass<9>, Name: ExCO, FederateHandle: null
2020-03-29 22:37:59.249 [main] INFO  skf.core.SEEHLAModule - The Interaction ' ModeTransitionRequest [execution_mode=null] ' has been published.
2020-03-29 22:37:59.280 [main] INFO  skf.core.SEEHLAModule - The Object ' SpaceProbe [name=SpaceProbe, parent_name=AitkenBasinLocalFixed, state=SpaceTimeCoordinateState [translationalState=ReferenceFrameTranslation [position={100; 500; 800}, velocity={0; 0; 0}], rotationState=ReferenceFrameRotation [attitudeQuaternion=[0.0 0.0 0.7071 0.7071], angularVelocityVector={0; 0; 0}], time=FloatingPointTime [value=0.0, epoch=TJD, timescale=TT, unit=SECOND]], type=SpaceProbe, temperature=-30.0] ' has been published.
2020-03-29 22:37:59.280 [main] INFO  skf.core.SEEHLAModule - Subscribing the ' AitkenBasinLocalFixed ' ReferenceFrame
2020-03-29 22:37:59.297 [prti1516e: LRC[0x11fc564b] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1102>, ObjectClassHandle: objectClass<8>, Name: EarthFixed, FederateHandle: null
2020-03-29 22:37:59.297 [prti1516e: LRC[0x11fc564b] Federate service] ERROR skf.core.SEEAbstractFederateAmbassador - Can't find the FrameType: EarthFixed
2020-03-29 22:37:59.312 [main] INFO  skf.core.SEEHLAModule - Set up time management.
2020-03-29 22:37:59.312 [main] INFO  skf.core.SEEHLAModule - Time constrained enabled.
2020-03-29 22:38:00.085 [Thread-2] INFO  skf.core.SEEHLAModule - The Object 'SpaceProbe [name=SpaceProbe, parent_name=AitkenBasinLocalFixed, state=SpaceTimeCoordinateState [translationalState=ReferenceFrameTranslation [position={110; 500; 800}, velocity={0; 0; 0}], rotationState=ReferenceFrameRotation [attitudeQuaternion=[0.0 0.0 0.7071 0.7071], angularVelocityVector={0; 0; 0}], time=FloatingPointTime [value=0.0, epoch=TJD, timescale=TT, unit=SECOND]], type=SpaceProbe, temperature=-30.0]' has been updated on the HLA/RTI platform.
2020-03-29 22:38:01.053 [Thread-2] INFO  skf.core.SEEHLAModule - The Object 'SpaceProbe [name=SpaceProbe, parent_name=AitkenBasinLocalFixed, state=SpaceTimeCoordinateState [translationalState=ReferenceFrameTranslation [position={120; 500; 800}, velocity={0; 0; 0}], rotationState=ReferenceFrameRotation [attitudeQuaternion=[0.0 0.0 0.7071 0.7071], angularVelocityVector={0; 0; 0}], time=FloatingPointTime [value=0.0, epoch=TJD, timescale=TT, unit=SECOND]], type=SpaceProbe, temperature=-30.0]' has been updated on the HLA/RTI platform.
2020-03-29 22:38:02.050 [Thread-2] INFO  skf.core.SEEHLAModule - The Object 'SpaceProbe [name=SpaceProbe, parent_name=AitkenBasinLocalFixed, state=SpaceTimeCoordinateState [translationalState=ReferenceFrameTranslation [position={130; 500; 800}, velocity={0; 0; 0}], rotationState=ReferenceFrameRotation [attitudeQuaternion=[0.0 0.0 0.7071 0.7071], angularVelocityVector={0; 0; 0}], time=FloatingPointTime [value=0.0, epoch=TJD, timescale=TT, unit=SECOND]], type=SpaceProbe, temperature=-30.0]' has been updated on the HLA/RTI platform.
2020-03-29 22:38:03.071 [Thread-2] INFO  skf.core.SEEHLAModule - The Object 'SpaceProbe [name=SpaceProbe, parent_name=AitkenBasinLocalFixed, state=SpaceTimeCoordinateState [translationalState=ReferenceFrameTranslation [position={140; 500; 800}, velocity={0; 0; 0}], rotationState=ReferenceFrameRotation [attitudeQuaternion=[0.0 0.0 0.7071 0.7071], angularVelocityVector={0; 0; 0}], time=FloatingPointTime [value=0.0, epoch=TJD, timescale=TT, unit=SECOND]], type=SpaceProbe, temperature=-30.0]' has been updated on the HLA/RTI platform.
2020-03-29 22:38:04.158 [Thread-2] INFO  skf.core.SEEHLAModule - The Object 'SpaceProbe [name=SpaceProbe, parent_name=AitkenBasinLocalFixed, state=SpaceTimeCoordinateState [translationalState=ReferenceFrameTranslation [position={150; 500; 800}, velocity={0; 0; 0}], rotationState=ReferenceFrameRotation [attitudeQuaternion=[0.0 0.0 0.7071 0.7071], angularVelocityVector={0; 0; 0}], time=FloatingPointTime [value=0.0, epoch=TJD, timescale=TT, unit=SECOND]], type=SpaceProbe, temperature=-30.0]' has been updated on the HLA/RTI platform.
2020-03-29 22:38:05.045 [Thread-2] INFO  skf.core.SEEHLAModule - The Object 'SpaceProbe [name=SpaceProbe, parent_name=AitkenBasinLocalFixed, state=SpaceTimeCoordinateState [translationalState=ReferenceFrameTranslation [position={160; 500; 800}, velocity={0; 0; 0}], rotationState=ReferenceFrameRotation [attitudeQuaternion=[0.0 0.0 0.7071 0.7071], angularVelocityVector={0; 0; 0}], time=FloatingPointTime [value=0.0, epoch=TJD, timescale=TT, unit=SECOND]], type=SpaceProbe, temperature=-30.0]' has been updated on the HLA/RTI platform.
2020-03-29 22:38:06.048 [Thread-2] INFO  skf.core.SEEHLAModule - The Object 'SpaceProbe [name=SpaceProbe, parent_name=AitkenBasinLocalFixed, state=SpaceTimeCoordinateState [translationalState=ReferenceFrameTranslation [position={170; 500; 800}, velocity={0; 0; 0}], rotationState=ReferenceFrameRotation [attitudeQuaternion=[0.0 0.0 0.7071 0.7071], angularVelocityVector={0; 0; 0}], time=FloatingPointTime [value=0.0, epoch=TJD, timescale=TT, unit=SECOND]], type=SpaceProbe, temperature=-30.0]' has been updated on the HLA/RTI platform.
2020-03-29 22:38:07.052 [Thread-2] INFO  skf.core.SEEHLAModule - The Object 'SpaceProbe [name=SpaceProbe, parent_name=AitkenBasinLocalFixed, state=SpaceTimeCoordinateState [translationalState=ReferenceFrameTranslation [position={180; 500; 800}, velocity={0; 0; 0}], rotationState=ReferenceFrameRotation [attitudeQuaternion=[0.0 0.0 0.7071 0.7071], angularVelocityVector={0; 0; 0}], time=FloatingPointTime [value=0.0, epoch=TJD, timescale=TT, unit=SECOND]], type=SpaceProbe, temperature=-30.0]' has been updated on the HLA/RTI platform.
2020-03-29 22:38:08.055 [Thread-2] INFO  skf.core.SEEHLAModule - The Object 'SpaceProbe [name=SpaceProbe, parent_name=AitkenBasinLocalFixed, state=SpaceTimeCoordinateState [translationalState=ReferenceFrameTranslation [position={190; 500; 800}, velocity={0; 0; 0}], rotationState=ReferenceFrameRotation [attitudeQuaternion=[0.0 0.0 0.7071 0.7071], angularVelocityVector={0; 0; 0}], time=FloatingPointTime [value=0.0, epoch=TJD, timescale=TT, unit=SECOND]], type=SpaceProbe, temperature=-30.0]' has been updated on the HLA/RTI platform.
